sector id,sector name,industry group id,industry group name,industry id,industry name,subindustry id,subindustry name,description
10.0,Energy,1010.0,Energy,101010.0,Energy Equipment & Services,10101010.0,Oil & Gas Drilling,Drilling contractors or owners of drilling rigs that contract their services for drilling wells
10.0,Energy,1010.0,Energy,101010.0,Energy Equipment & Services,10101020.0,Oil & Gas Equipment & Services,"Manufacturers of equipment, including drilling rigs and equipment, and providers of supplies and services to companies involved in the drilling, evaluation and completion of oil and gas wells."
10.0,Energy,1010.0,Energy,101020.0,"Oil, Gas & Consumable Fuels",10102010.0,Integrated Oil & Gas,"Integrated oil companies engaged in the exploration & production of oil and gas, as well as at least one other significant activity in either refining, marketing and transportation, or chemicals."
10.0,Energy,1010.0,Energy,101020.0,"Oil, Gas & Consumable Fuels",10102020.0,Oil & Gas Exploration & Production,Companies engaged in the exploration and production of oil and gas not classified elsewhere.
10.0,Energy,1010.0,Energy,101020.0,"Oil, Gas & Consumable Fuels",10102030.0,Oil & Gas Refining & Marketing,"Companies engaged in the refining and marketing of oil, gas and/or refined products not classified in the Integrated Oil & Gas or Independent Power Producers & Energy Traders Sub-Industries."
10.0,Energy,1010.0,Energy,101020.0,"Oil, Gas & Consumable Fuels",10102040.0,Oil & Gas Storage & Transportation,"Companies engaged in the storage and/or transportation of oil, gas and/or refined products. Includes diversified midstream natural gas companies facing competitive markets, oil and refined product pipelines, coal slurry pipelines and oil & gas shipping companies."
10.0,Energy,1010.0,Energy,101020.0,"Oil, Gas & Consumable Fuels",10102050.0,Coal & Consumable Fuels,"Companies primarily involved in the production and mining of coal, related products and other consumable fuels related to the generation of energy.  Excludes companies primarily producing gases classified in the Industrial Gases sub-industry and companies primarily mining for metallurgical (coking) coal used for steel production."
15.0,Materials,1510.0,Materials,151010.0,Chemicals,15101010.0,Commodity Chemicals,"Companies that primarily produce industrial chemicals and basic chemicals. Including but not limited to plastics, synthetic fibers, films, commodity-based paints & pigments, explosives and petrochemicals. Excludes chemical companies classified in the Diversified Chemicals, Fertilizers & Agricultural Chemicals, Industrial Gases, or Specialty Chemicals Sub-Industries."
15.0,Materials,1510.0,Materials,151010.0,Chemicals,15101020.0,Diversified Chemicals,"Manufacturers of a diversified range of chemical products not classified in the Industrial Gases, Commodity Chemicals, Specialty Chemicals or Fertilizers & Agricultural Chemicals Sub-Industries."
15.0,Materials,1510.0,Materials,151010.0,Chemicals,15101030.0,Fertilizers & Agricultural Chemicals,"Producers of fertilizers, pesticides, potash or other agriculture-related chemicals not classified elsewhere."
15.0,Materials,1510.0,Materials,151010.0,Chemicals,15101040.0,Industrial Gases,Manufacturers of industrial gases.
15.0,Materials,1510.0,Materials,151010.0,Chemicals,15101050.0,Specialty Chemicals,"Companies that primarily produce high value-added chemicals used in the manufacture of a wide variety of products, including but not limited to fine chemicals, additives, advanced polymers, adhesives, sealants and specialty paints, pigments and coatings."
15.0,Materials,1510.0,Materials,151020.0,Construction Materials,15102010.0,Construction Materials,"Manufacturers of construction materials including sand, clay, gypsum, lime, aggregates, cement, concrete and bricks. Other finished or semi-finished building materials are classified  in the Building Products Sub-Industry."
15.0,Materials,1510.0,Materials,151030.0,Containers & Packaging,15103010.0,Metal & Glass Containers,"Manufacturers of metal, glass or plastic containers. Includes corks and caps."
15.0,Materials,1510.0,Materials,151030.0,Containers & Packaging,15103020.0,Paper Packaging,Manufacturers of paper and cardboard containers and packaging.
15.0,Materials,1510.0,Materials,151040.0,Metals & Mining,15104010.0,Aluminum,"Producers of aluminum and related products, including companies that mine or process bauxite and companies that recycle aluminum to produce finished or semi-finished products. Excludes companies that primarily produce aluminum building materials classified in the Building Products Sub-Industry."
15.0,Materials,1510.0,Materials,151040.0,Metals & Mining,15104020.0,Diversified Metals & Mining,"Companies engaged in the diversified production or extraction of metals and minerals not classified elsewhere. Including, but not limited to, nonferrous metal mining (except bauxite), salt and borate mining, phosphate rock mining, and diversified mining operations. Excludes iron ore mining, classified in the Steel Sub-Industry, bauxite mining, classified in the Aluminum Sub-Industry, and coal mining, classified in either the Steel or Coal & Consumable Fuels Sub-Industries."
15.0,Materials,1510.0,Materials,151040.0,Metals & Mining,15104025.0,Copper,Companies involved primarily in copper ore mining.
15.0,Materials,1510.0,Materials,151040.0,Metals & Mining,15104030.0,Gold,"Producers of gold and related products, including companies that mine or process gold and the South African finance houses which primarily invest in, but do not operate, gold mines."
15.0,Materials,1510.0,Materials,151040.0,Metals & Mining,15104040.0,Precious Metals & Minerals,Companies mining precious metals and minerals not classified in the Gold Sub-Industry. Includes companies primarily mining platinum.
15.0,Materials,1510.0,Materials,151040.0,Metals & Mining,15104045.0,Silver,Companies primarily mining silver. Excludes companies classified in the Gold or Precious Metals & Minerals Sub-Industries.
15.0,Materials,1510.0,Materials,151040.0,Metals & Mining,15104050.0,Steel,"Producers of iron and steel and related products, including metallurgical (coking) coal mining used for steel production."
15.0,Materials,1510.0,Materials,151050.0,Paper & Forest Products,15105010.0,Forest Products,Manufacturers of timber and related wood products. Includes lumber for the building industry.
15.0,Materials,1510.0,Materials,151050.0,Paper & Forest Products,15105020.0,Paper Products,Manufacturers of all grades of paper. Excludes companies specializing in paper packaging classified in the Paper Packaging Sub-Industry.
20.0,Industrials,2010.0,Capital Goods,201010.0,Aerospace & Defense,20101010.0,Aerospace & Defense,"Manufacturers of civil or military aerospace and defense equipment, parts or products. Includes defense electronics and space equipment."
20.0,Industrials,2010.0,Capital Goods,201020.0,Building Products,20102010.0,Building Products,Manufacturers of building components and home improvement products and equipment. Excludes lumber and plywood classified under Forest Products and cement and other materials classified in the Construction Materials Sub-Industry.
20.0,Industrials,2010.0,Capital Goods,201030.0,Construction & Engineering,20103010.0,Construction & Engineering,Companies engaged in primarily non-residential construction. Includes civil engineering companies and large-scale contractors. Excludes companies classified in the Homebuilding Sub-Industry.
20.0,Industrials,2010.0,Capital Goods,201040.0,Electrical Equipment,20104010.0,Electrical Components & Equipment,"Companies that produce electric cables and wires, electrical components or equipment not classified in the Heavy Electrical Equipment Sub-Industry."
20.0,Industrials,2010.0,Capital Goods,201040.0,Electrical Equipment,20104020.0,Heavy Electrical Equipment,"Manufacturers of power-generating equipment and other heavy electrical equipment, including power turbines, heavy electrical machinery intended for fixed-use and large electrical systems. Excludes cables and wires, classified in the Electrical Components & Equipment Sub-Industry."
20.0,Industrials,2010.0,Capital Goods,201050.0,Industrial Conglomerates,20105010.0,Industrial Conglomerates,"Diversified industrial companies with business activities in three or more sectors, none of which contributes a majority of revenues. Stakes held are predominantly of a controlling nature and stake holders maintain an operational interest in the running of the subsidiaries."
20.0,Industrials,2010.0,Capital Goods,201060.0,Machinery,20106010.0,Construction Machinery & Heavy Trucks,"Manufacturers of heavy duty trucks, rolling machinery, earth-moving and construction equipment, and manufacturers of related parts. Includes non-military shipbuilding."
20.0,Industrials,2010.0,Capital Goods,201060.0,Machinery,20106015.0,Agricultural & Farm Machinery,"Companies manufacturing agricultural machinery, farm machinery, and their related parts. Includes machinery used for the production of crops and agricultural livestock, agricultural tractors, planting and fertilizing machinery, fertilizer and chemical application equipment, and grain dryers and blowers."
